192.168.63.1 - - [13/Dec/2014:00:56:48 +0800] "GET /cgi-bin/main.cgi?m=1&n=2&cc=21312ahsdkl HTTP/1.1" 200 333 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:00:56:48 +0800] "GET /favicon.ico HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:03:45 +0800] "GET /cgi-bin/main.cgi?m=1&n=2&cc=21312ahsdkl HTTP/1.1" 200 365 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:03:45 +0800] "GET /favicon.ico HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:03:54 +0800] "GET /cgi-bin/main.cgi?m=1&n=2&cc=21312ahsdkl HTTP/1.1" 200 356 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:03:54 +0800] "GET /favicon.ico HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:05:08 +0800] "GET /cgi-bin/main.cgi?m=1&n=2&cc=21312ahsdkl HTTP/1.1" 200 360 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:05:08 +0800] "GET /favicon.ico HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:05:15 +0800] "GET /cgi-bin/main.cgi?m=1&n=2&cc=abcde HTTP/1.1" 200 356 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:05:26 +0800] "GET /cgi-bin/main.cgi?m=1&n=2&cc=abcde HTTP/1.1" 200 361 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:05:26 +0800] "GET /favicon.ico HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:10:22 +0800] "GET /cgi-bin/main.cgi?m=1&n=2&cc=abcde HTTP/1.1" 200 343 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:10:23 +0800] "GET /favicon.ico HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:11:13 +0800] "GET /cgi-bin/main.cgi?m=1&n=2&cc=abcde HTTP/1.1" 200 352 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:11:13 +0800] "GET /favicon.ico HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:11:50 +0800] "GET /cgi-bin/main.cgi?h1=140.113.111.111&p1=5555&f1=t1.txt&h2=&p2=&f2 HTTP/1.1" 500 641 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:12:03 +0800] "GET /cgi-bin/main.cgi?h2=&p2=&f2 HTTP/1.1" 500 641 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:12:20 +0800] "GET /cgi-bin/main.cgi?h2=23&p2=32&f2=312 HTTP/1.1" 200 348 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:12:53 +0800] "GET /cgi-bin/main.cgi?h2=&p2=32&f2=312 HTTP/1.1" 500 641 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:13:23 +0800] "GET /cgi-bin/main.cgi?h2=&p2=32&f2=312 HTTP/1.1" 500 641 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:13:23 +0800] "GET /favicon.ico HTTP/1.1" 404 506 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:13:24 +0800] "GET /cgi-bin/main.cgi?h2=&p2=32&f2=312 HTTP/1.1" 500 641 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
192.168.63.1 - - [13/Dec/2014:01:13:24 +0800] "GET /favicon.ico HTTP/1.1" 404 506 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
